YearIncurred,totalIncurred,lossDescription,peril,yearsInsured,stateRisk,postcodeRisk,anzsic2_code,anzsic2_desc,anzsic4_code,anzsic4_desc,occupancy,locality,roofType,wallType,floorType,fireprotecAlarm,fireprotecBlanket,fireprotecFexting,fireprotecHose,fireprotecMonitored,fireprotecMthermal,fireprotecNmonitored,fireprotecNthermal,buildingSI
2010, 782.89 ,MALICIOUS DAMAGE,Malicious Damage,21,NSW,2153,11,Food Product Manufacturing,1174,Bakery Product Manufacturing (Non-factory based),PROPOWNER,MAINRD,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 174,416.47 "
2012," 9,407.04 ",BURGLARY (FORCED ENTRY),Malicious Damage,24,NSW,2750,67,Property Operators and Real Estate Services,6720,Real Estate Services,PROPOWNER,CONVERSION,CONCRETSLA,BRICK,WOOD,Y,N,Y,N,N,N,N,N," 443,154.45 "
2012," 27,256.81 ",NEC WATER DAMAGE,Water,24,NSW,2750,67,Property Operators and Real Estate Services,6720,Real Estate Services,PROPOWNER,CONVERSION,CONCRETSLA,BRICK,WOOD,Y,N,Y,N,N,N,N,N," 457,849.59 "
2010," 140,131.67 ",PROPERTY LOSS OR DAMAGE NEC,Other Property Damage,16,NSW,2573,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,065,564.23 "
2012," 1,914.35 ",MALICIOUS DAMAGE,Malicious Damage,24,NSW,2164,67,Property Operators and Real Estate Services,6711,Residential Property Operators,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,896,080.34 "
2010," 1,680.76 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,9,NT,810,94,Repair and Maintenance,9411,Automotive Electrical Services,PROPOWNER,INDUST,ASBESTOS,BRICK,UNKNOWN,N,N,N,N,N,N,N,N," 240,804.13 "
2011, 986.35 ,NEC WATER DAMAGE,Water,18,NSW,2760,22,Fabricated Metal Product Manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 5,047,402.77 "
2015," 3,685.37 ",Bursting / Leaking - Water,Water,22,NSW,2760,22,Fabricated Metal Product Manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 5,870,128.96 "
2010," 4,467.30 ",MALICIOUS DAMAGE,Malicious Damage,16,SA,5007,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 575,328.15 "
2012," 5,471.85 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,19,SA,5007,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 1,008,858.21 "
2014, 196.52 ,Accidental Loss or Damage,Accident Loss or Damage,19,WA,6090,25,Furniture and Other Manufacturing,2511,Wooden Furniture and Upholstered Seat Manufacturing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,191,152.28 "
2010," 6,171.83 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,17,SA,5069,72,Administrative Services,7299,Other Administrative Services n.e.c.,PROPOWNER,SUBSTFRST,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 781,593.14 "
2012," 2,655.11 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,18,WA,6000,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,Y,N,N,N,N," 1,359,214.04 "
2013," 3,717.93 ",PROPERTY LOSS OR DAMAGE NEC,Other Property Damage,16,SA,5723,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 386,240.54 "
2011," 1,514.67 ",NEC WATER DAMAGE,Water,20,NSW,2450,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 233,351.95 "
2011," 7,485.83 ",FIRE (NOT ARSON),Fire,14,WA,6208,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",6970,Veterinary Services,PROPOWNER,OFFICEFRST,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 239,422.84 "
2014, 500.64 ,MALICIOUS DAMAGE,Malicious Damage,18,WA,6208,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",6970,Veterinary Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 299,541.99 "
2014," 12,352.66 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,25,TAS,7000,44,Accommodation,4400,Accommodation,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,132,238.70 "
2013," 5,669.99 ",MALICIOUS DAMAGE,Malicious Damage,16,WA,6000,72,Administrative Services,7299,Other Administrative Services n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 6,196,347.87 "
2010," 4,075.55 ",NEC WATER DAMAGE,Water,21,ACT,2609,22,Fabricated Metal Product Manufacturing,2221,Structural Steel Fabricating,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,744,040.40 "
2011, 379.54 ,FINANCIAL LOSS ONLY,Other Property Damage,12,SA,5301,01,Agriculture,0141,Sheep Farming (Specialised),UNKNOWN,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 220,131.41 "
2013," 6,051.64 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,12,NSW,2480,53,Warehousing and Storage Services,5309,Other Warehousing and Storage Services,PROPOWNER,CONVERSION,ASBESTOS,BRICK,UNKNOWN,N,N,N,N,N,N,N,N," 186,978.27 "
2014, 637.61 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,24,QLD,4500,42,Other Store-Based Retailing,4231,Hardware and Building Supplies Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,165,387.64 "
2015," 1,123.38 ",MALICIOUS DAMAGE,Malicious Damage,23,WA,6153,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",6932,Accounting Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 711,663.90 "
2010," 1,693.96 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,17,WA,6101,94,Repair and Maintenance,9412,"Automotive Body, Paint and Interior Repair",PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 304,498.57 "
2014," 37,982.73 ",FIRE (NOT ARSON),Fire,20,NT,870,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSTO,CONCRETE,N,N,N,N,N,N,N,N," 3,447,250.90 "
2014, 459.77 ,PROPERTY LOSS OR DAMAGE NEC,Other Property Damage,20,NT,870,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSTO,CONCRETE,N,N,N,N,N,N,N,N," 3,004,681.80 "
2010," 7,439.17 ",MALICIOUS DAMAGE,Malicious Damage,17,WA,6053,94,Repair and Maintenance,9412,"Automotive Body, Paint and Interior Repair",PROPOWNER,SUBSTFRST,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 348,692.14 "
2012," 4,785.30 ",MALICIOUS DAMAGE,Malicious Damage,13,WA,6104,34,Machinery and Equipment Wholesaling,3499,Other Machinery and Equipment Wholesaling n.e.c.,PROPOWNER,OFFICEFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,699,670.03 "
2011," 3,444.16 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,15,WA,6062,45,Food and Beverage Services,4512,Takeaway Food Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,841,279.74 "
2013, 206.46 ,MALICIOUS DAMAGE,Malicious Damage,17,WA,6052,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 659,533.26 "
2015," 3,053.25 ",MALICIOUS DAMAGE,Malicious Damage,15,WA,6280,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 519,799.57 "
2011, 597.68 ,MALICIOUS DAMAGE,Malicious Damage,21,QLD,4413,42,Other Store-Based Retailing,4212,Floor Coverings Retailing,PROPOWNER,MAINRD,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 557,711.19 "
2015," 10,110.80 ",OVERFLOW/DEFECT IN WATER APPAR,Water,19,SA,5045,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,964,308.74 "
2015," 6,465.41 ",Bursting / Leaking - Water,Water,19,SA,5045,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 3,060,663.69 "
2011," 8,308.32 ",FIRE (NOT ARSON),Fire,17,WA,6394,01,Agriculture,0141,Sheep Farming (Specialised),UNKNOWN,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 217,724.13 "
2011," 47,211.95 ",FIRE (NOT ARSON),Fire,14,SA,5031,42,Other Store-Based Retailing,4273,Antique and Used Goods Retailing,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 722,286.70 "
2013," 7,733.13 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,16,NT,828,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,327,772.38 "
2012," 3,961.07 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,12,WA,6004,42,Other Store-Based Retailing,4272,Stationery Goods Retailing,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 701,398.56 "
2015," 1,711.16 ",Accidental Loss or Damage,Impact by Third Party,16,WA,6004,42,Other Store-Based Retailing,4272,Stationery Goods Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,035,907.98 "
2011," 2,052.49 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,15,WA,6010,42,Other Store-Based Retailing,4211,Furniture Retailing,PROPOWNER,OFFICEFRST,ALLOYSTEEL,BRICK,CONCRETE,Y,Y,Y,Y,N,N,N,N," 6,607,501.33 "
2013, 212.83 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,23,VIC,3088,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",6970,Veterinary Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,675,329.17 "
2010, 451.46 ,MALICIOUS DAMAGE,Malicious Damage,11,WA,6255,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,SUBSTFRST,ALLOYWOOD,WOOD,WOOD,N,N,N,N,N,N,N,N," 1,349,733.46 "
2011," 1,379.12 ",FUSION,Other Property Damage,12,WA,6255,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,Y,N,Y,N,N,N,Y,N," 1,577,979.07 "
2010," 3,127.88 ",FIRE (NOT ARSON),Fire,21,NSW,2665,01,Agriculture,0141,Sheep Farming (Specialised),UNKNOWN,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 135,293.26 "
2010, 537.23 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,19,WA,6280,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,148,921.05 "
2011," 2,352.52 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,21,WA,6280,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,277,240.90 "
2010, 273.75 ,NEC WATER DAMAGE,Water,17,SA,5068,42,Other Store-Based Retailing,4273,Antique and Used Goods Retailing,PROPOWNER,MAINRD,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 251,755.44 "
2015," 7,980.10 ",Accidental Loss or Damage,Accident Loss or Damage,23,SA,5068,42,Other Store-Based Retailing,4273,Antique and Used Goods Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 395,628.55 "
2011," 3,929.65 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,15,SA,5341,36,"Grocery, Liquor and Tobacco Product Wholesaling",3601,General Line Grocery Wholesaling,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 152,156.22 "
2010," 2,442.56 ",MALICIOUS DAMAGE,Malicious Damage,13,ACT,2611,72,Administrative Services,7299,Other Administrative Services n.e.c.,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 3,164,454.33 "
2010," 3,462.65 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,16,NSW,2546,94,Repair and Maintenance,9412,"Automotive Body, Paint and Interior Repair",PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 437,510.99 "
2010," 3,242.31 ",MALICIOUS DAMAGE,Malicious Damage,10,SA,5109,41,Food Retailing,4129,Other Specialised Food Retailing,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 202,644.49 "
2010," 1,768.94 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,15,SA,5491,01,Agriculture,0141,Sheep Farming (Specialised),UNKNOWN,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 152,435.28 "
2012," 2,541.82 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,23,VIC,3201,14,Wood Product Manufacturing,1499,Other Wood Product Manufacturing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 142,749.25 "
2012, 778.73 ,FIRE (NOT ARSON),Fire,17,WA,6060,45,Food and Beverage Services,4512,Takeaway Food Services,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 929,867.82 "
2011, 385.09 ,COLLAPSE OF BUILDING/STRUCTURE,Other Property Damage,16,WA,6100,72,Administrative Services,7299,Other Administrative Services n.e.c.,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 829,416.41 "
2013, 301.06 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,13,WA,6065,34,Machinery and Equipment Wholesaling,3494,Other Electrical and Electronic Goods Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 575,010.89 "
2012, 958.69 ,MALICIOUS DAMAGE,Malicious Damage,19,WA,6063,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,SCENTREINT,ALLOYSTEEL,BRICK,CONCRETE,N,Y,Y,Y,N,N,N,N," 2,576,012.18 "
2013," 2,417.66 ",MALICIOUS DAMAGE,Malicious Damage,21,WA,6063,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,Y,Y,Y,N,N,N,N," 2,883,291.05 "
2010," 4,002.74 ",VEHICLE DAMAGE/OVERTURNING,Other Property Damage,10,SA,5351,01,Agriculture,0141,Sheep Farming (Specialised),UNKNOWN,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 56,448.88 "
2010, 509.30 ,PROPERTY LOSS OR DAMAGE NEC,Other Property Damage,19,WA,6060,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 538,367.54 "
2010," 1,204.76 ",PROPERTY LOSS OR DAMAGE NEC,Other Property Damage,19,WA,6060,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 454,453.49 "
2015," 2,689.52 ",Burglary (Forcible),Malicious Damage,24,WA,6060,11,Food Product Manufacturing,1174,Bakery Product Manufacturing (Non-factory based),PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 1,081,430.77 "
2015," 1,707.98 ",Accidental Loss or Damage,Accident Loss or Damage,26,QLD,4501,37,Other Goods Wholesaling,3712,Clothing and Footwear Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,Y,N,N,N,N," 8,542,916.18 "
2010," 8,750.69 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,20,WA,6153,42,Other Store-Based Retailing,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,768,925.88 "
2015," 4,969.60 ",Burglary (Forcible),Malicious Damage,25,WA,6153,42,Other Store-Based Retailing,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",PROPOWNER,CONVERSION,ALLOYSTEEL,NA,CONCRETE,Y,N,Y,Y,N,N,N,N," 2,266,944.08 "
2011," 5,621.21 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,13,WA,6017,24,Machinery and Equipment Manufacturing,2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",PROPOWNER,CONVERSION,ALLOYSTEEL,IRONSTEFR,CONCRETE,N,N,Y,N,N,N,N,N," 727,585.28 "
2011," 5,668.81 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,11,WA,6061,40,Fuel Retailing,4000,Fuel Retailing,PROPOWNER,INDUST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,459,495.37 "
2012," 1,906.74 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,13,WA,6061,40,Fuel Retailing,4000,Fuel Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,976,885.36 "
2013," 2,070.36 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,13,WA,6061,40,Fuel Retailing,4000,Fuel Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,927,144.87 "
2013," 1,227.81 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,14,WA,6061,40,Fuel Retailing,4000,Fuel Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 3,322,423.75 "
2014," 3,129.46 ",OVERFLOW/DEFECT IN WATER APPAR,Water,22,NSW,2482,85,Medical and Other Health Care Services,8511,General Practice Medical Services,PROPOWNER,CONVERSION,ALLOYSTEEL,WOOD,WOOD,N,N,N,N,N,N,N,N," 2,071,975.36 "
2011," 3,610.02 ",MALICIOUS DAMAGE,Malicious Damage,20,VIC,3020,20,Non-Metallic Mineral Product Manufacturing,2090,Other Non-Metallic Mineral Product Manufacturing,PROPOWNER,INDUST,ALLOYSTEEL,OTHMIXED,OTHMIXED,N,N,N,N,N,N,N,N," 169,352.42 "
2011," 3,015.46 ",MALICIOUS DAMAGE,Malicious Damage,20,VIC,3020,22,Fabricated Metal Product Manufacturing,2221,Structural Steel Fabricating,PROPOWNER,INDUST,ASBESTOS,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 150,301.77 "
2010," 2,639.49 ",NEC WATER DAMAGE,Water,21,VIC,3820,62,Finance,6221,Banking,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 886,262.52 "
2012," 1,567.35 ",MALICIOUS DAMAGE,Malicious Damage,21,NSW,2223,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,Y,N,Y,Y,N,N,N,N," 3,896,912.50 "
2014," 1,853.78 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,23,NSW,2223,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,Y,N,Y,Y,N,N,N,N," 3,640,146.55 "
2011," 2,220.32 ",IMPACT TO BUILDING/STRUCTURE,Malicious Damage,11,WA,6743,42,Other Store-Based Retailing,4251,Clothing Retailing,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 943,046.47 "
2011," 1,712.46 ",MALICIOUS DAMAGE,Malicious Damage,20,VIC,3977,39,Motor Vehicle and Motor Vehicle Parts Retailing,3922,Tyre Retailing,PROPOWNER,INDUST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 564,279.16 "
2010," 2,621.79 ",MALICIOUS DAMAGE,Malicious Damage,21,WA,6015,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,OFFICEFRST,CONCRETE,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 3,908,853.14 "
2010," 2,846.61 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,20,WA,6106,37,Other Goods Wholesaling,3739,Other Goods Wholesaling n.e.c.,PROPOWNER,INDUST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 280,411.96 "
2014," 1,687.68 ",FIRE (NOT ARSON),Fire,24,WA,6106,34,Machinery and Equipment Wholesaling,3499,Other Machinery and Equipment Wholesaling n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,Y,N,Y,N,N,N,N,N," 449,719.17 "
2014," 3,864.44 ",PROPERTY LOSS OR DAMAGE NEC,Other Property Damage,24,WA,6106,34,Machinery and Equipment Wholesaling,3499,Other Machinery and Equipment Wholesaling n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,Y,N,Y,N,N,N,N,N," 447,688.78 "
2015, 391.11 ,Impact/damage by object/vehicle/person,Impact by Third Party,19,TAS,7010,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 673,943.92 "
2014," 2,018.85 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,15,WA,6018,85,Medical and Other Health Care Services,8511,General Practice Medical Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 858,093.58 "
2011," 1,462.51 ",MALICIOUS DAMAGE,Malicious Damage,10,SA,5092,45,Food and Beverage Services,4512,Takeaway Food Services,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 963,783.63 "
